"SRR_ID","subgroup","generation"
"A1","2h",1
"A2","2h",1
"A3","2h",1
"A4","2h",1
"A5","2h",1
"A6","2h",1
"A7","2h",1
"A8","2h",1
"A9","2h",1
"A10","2h",1
"A11","2h",1
"A12","2h",1
"A13","2h",1
"A14","2h",1
"A15","2h",1
"A16","2h",1
"A17","2h",1
"A18","2h",1
"A19","2h",1
"A20","2h",1
"A21","2h",1
"A22","2h",1
"A23","2h",1
"A25","2h",1
"A26","2h",1
"A27","2h",1
"A28","2h",1
"A29","2h",1
"A30","2h",1
"A31","2h",1
"A32","2h",1
"A33","2h",1
"A34","2h",1
"A35","2h",1
"A36","2h",1
"A37","2h",1
"A38","2h",1
"B1","16h/F",10
"B2","16h/S",6
"B3","16h/F",9
"B4","16h/S",8
"B5","16h/F",10
"B6","16h/S",8
"B7","16h/F",10
"B8","16h/S",8
"B9","16h/F",9
"B10","16h/F",10
"B11","16h/F",10
"B12","16h/S",8
"B13","16h/S",6
"B14","16h/F",9
"B15","16h/F",9
"B16","16h/F",9
"B17","16h/F",9
"B18","16h/S",8
"B19","16h/S",8
"B20","16h/F",9
"B21","16h/S",8
"B22","16h/F",10
"B23","16h/F",9
"B24","16h/F",9
"B25","16h/S",8
"B27","16h/F",9
"B28","16h/F",11
"B29","16h/F",10
"B30","16h/F",10
"B31","16h/S",6
"B32","16h/S",5
"B33","16h/F",12
"B34","16h/F",10
"B35","16h/F",11
"B37","16h/F",10
"B38","16h/F",12
"B39","16h/F",10
"B40","16h/F",12
"B42","16h/S",6
"B43","16h/S",7
"B45","16h/S",7
"B47","16h/S",7
"B48","16h/S",7
"C1","36h/F",19
"C3","36h/S",13
"C5","36h/F",18
"C6","36h/S",17
"C7","36h/F",18
"C8","36h/S",17
"C9","36h/F",21
"C11","36h/F",18
"C12","36h/F",20
"C13","36h/S",13
"C14","36h/S",12
"C15","36h/F",18
"C16","36h/S",17
"C17","36h/F",21
"C18","36h/S",12
"C19","36h/S",14
"C20","36h/S",17
"C21","36h/S",12
"C22","36h/S",15
"C23","36h/F",20
"C24","36h/F",19
"C25","36h/F",20
"C26","36h/F",18
"C27","36h/F",19
"C28","36h/F",22
"C29","36h/F",19
"C30","36h/F",21
"C32","36h/S",14
"C33","36h/F",20
"C34","36h/S",8
"C35","36h/S",15
"C36","36h/S",16
"C37","36h/F",20
"C38","36h/F",20
"C39","36h/S",17
"C40","36h/F",19
"C41","36h/F",19
"C42","36h/S",14
"C43","36h/F",22
"C44","36h/F",21
"C45","36h/F",21
"C46","36h/F",18
"C47","36h/F",19
"C48","36h/F",22
"C49","36h/S",9
