"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"YDR259C",15.2757997548221,-22.578686715349,1.81292681971311,-12.4542736473621,1.32552777486775e-35,7.90279659376152e-32,"YDR259C"
"YJL098W",14.7592885165047,-23.1397703993301,1.97682933074571,-11.7054973028962,1.19456812263759e-31,3.56100757358266e-28,"YJL098W"
"YGL211W",26.9081327797964,-23.3783624147175,2.04002840544005,-11.4598220065836,2.0994581379257e-30,4.17232313943767e-27,"YGL211W"
"YMR271C",19.7372915412383,-23.0441264465895,2.15912671404853,-10.6728920987597,1.36316214688933e-26,2.03179317993854e-23,"YMR271C"
"YPR186C",12.804219653606,-22.6838913254824,2.22990391671182,-10.1725868794076,2.62833852215491e-24,3.13403085381752e-21,"YPR186C"
"YOL084W",30.3175104606007,-22.084534357984,2.17808808537409,-10.1394128668543,3.69312562229939e-24,3.6697358266915e-21,"YOL084W"
"YDR234W",17.775657926535,-22.7531315731362,2.30109446580955,-9.88796066880783,4.69494350863468e-23,3.99875045692571e-20,"YDR234W"
"YPR030W",19.7242219983095,-21.2380457393285,2.17963945571677,-9.74383432251847,1.96015498884644e-22,1.46080550543781e-19,"YPR030W"
"YBR093C",9.21212398461683,-20.8777606679808,2.21124580889469,-9.4416281464505,3.67031256470998e-21,2.43137816786677e-18,"YBR093C"
"YLR237W",16.7275761535251,-21.581235446915,2.30791155669934,-9.35098027663568,8.68391046199073e-21,5.17734741743887e-18,"YLR237W"
"YDR223W",19.9612478213275,23.7204451654763,2.55045105088511,9.30049026318084,1.39799562468421e-20,7.57713628578841e-18,"YDR223W"
"YBR175W",15.9269675414966,-23.8093783672077,2.57989118093206,-9.22883048059641,2.73602817362856e-20,1.35934999759779e-17,"YBR175W"
"YIL073C",12.0917555550257,23.0851708818712,2.51224752337336,9.18905110547115,3.96321879351376e-20,1.81759311130223e-17,"YIL073C"
"YKL078W",7.54124240486923,-21.7567145848305,2.4877002296529,-8.745713943141,2.21609896770454e-18,9.43741574675317e-16,"YKL078W"
"YDL214C",21.7405530560277,16.3684309182488,1.87940060107807,8.70938899820479,3.05517119600138e-18,1.21432871137068e-15,"YDL214C"
"YNL144C",5.43228380986141,-20.9156705251254,2.4718351430525,-8.46159606716182,2.63742671746002e-17,9.82771130593539e-15,"YNL144C"
"YNL304W",6.67797047411515,-20.5150661871177,2.45758295832497,-8.34765968636934,6.96288559357307e-17,2.44192493581663e-14,"YNL304W"
"YDR459C",12.2869960099716,-21.5195285473677,2.78822049160809,-7.71801534783086,1.18154976524075e-14,3.91355538909185e-12,"YDR459C"
"YNL194C",35.1014643349764,-20.9389668323955,2.7984524270559,-7.48233796292341,7.30118899499539e-14,2.29103625200855e-11,"YNL194C"
"YKL209C",4.70202375067334,-18.4642969418594,2.53390314139023,-7.28689926629514,3.17169867218762e-13,9.4548337417913e-11,"YKL209C"
"YNL331C",7.99335603431359,-18.1055583407293,2.50370353978925,-7.23151046159935,4.77651291844069e-13,1.35607476284492e-10,"YNL331C"
"YIL101C",7.55883401980358,-17.5414838689913,2.43745859885013,-7.19662843802411,6.1719650274927e-13,1.67260252245052e-10,"YIL101C"
"YBL075C",6.05792442178952,-19.1300010847794,2.67099683798853,-7.16212045357036,7.94385716937523e-13,2.05918593233979e-10,"YBL075C"
"YIL024C",7.67122062498357,-19.3995725229649,3.07935216919197,-6.29988759228387,2.97861575840279e-10,7.39937797983226e-08,"YIL024C"
"YIL067C",4.02743137024072,-17.6724266285739,2.89873586760058,-6.09659777080766,1.08349691353049e-09,2.58392343938752e-07,"YIL067C"
"YGL004C",10.0108061332966,15.9852431866932,2.69234018005396,5.93730439604881,2.89746413000674e-09,6.64410813196162e-07,"YGL004C"
"YOL047C",13.7481512197395,-15.3869910438363,2.59805007165006,-5.92251520158879,3.17054487133022e-09,7.00103278624844e-07,"YOL047C"
"YBR294W",10.7178703166589,-18.6512833549625,3.31377603468508,-5.62840794300542,1.8188052720626e-08,3.87275608287043e-06,"YBR294W"
"YCR021C",7.51699791369788,19.0141102562157,3.38259619195766,5.62115877189921,1.89680846014645e-08,3.89957656530798e-06,"YCR021C"
"YMR323W",15.7907819186349,-14.5587182012698,2.81068272857553,-5.17978000620804,2.22147728400169e-07,4.41481585573936e-05,"YMR323W"
"YPL119C",6.29200417981203,-17.2286234388002,3.39932097212655,-5.06825438964721,4.01480603304076e-07,7.72137857064161e-05,"YPL119C"
"YOR032C",5.52506033146872,-16.3326627644899,3.37632220010959,-4.83741236661588,1.31540348006061e-06,0.000245076110878793,"YOR032C"
"YDR184C",15.4437413033779,-9.14230279165599,2.04048102856921,-4.48046449031021,7.44807711918665e-06,0.00134561926619972,"YDR184C"
"YJL212C",17.7661701367061,-8.50526980762703,2.03053478365249,-4.18868461456637,2.8057600936157e-05,0.00491998284651082,"YJL212C"
"YDR196C",19.8240387261162,-6.542976642285,1.57546849203593,-4.15303554171984,3.2809375654268e-05,0.00558884279002132,"YDR196C"
"YOR383C",413.172740367536,4.60058760452513,1.1129255394487,4.13377844379784,3.56847494687541e-05,0.005909791009242,"YOR383C"
"YJL089W",5.09740538584997,-14.4990319861378,3.52346062169826,-4.11499759550297,3.87183450844533e-05,0.00623888576739218,"YJL089W"
"YCL064C",12.886523699898,-20.0037875049196,5.05740446620847,-3.955346589061,7.64237764939614e-05,0.0119904883014999,"YCL064C"
"YBL045C",31.1134600656382,-4.63976112256389,1.19833935544126,-3.87182570738102,0.000108023186656456,0.0165136984319433,"YBL045C"
