Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain,Time
SRR20707037,RNA-Seq,152,168697200,PRJNA863480,SAMN30048415,67731406,"BIOPIC, PEKING UNIVERSITY",public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX16728812,WT,NextSeq 550,GSM6415582,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Saccharomyces cerevisiae,ILLUMINA,2022-08-01T00:00:00Z,2022-07-29T09:26:00Z,1,GSM6415582,BY4742,SRP388737,BY4742,36 hour
SRR20707038,RNA-Seq,152,135784944,PRJNA863480,SAMN30048416,55123002,"BIOPIC, PEKING UNIVERSITY",public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX16728811,WT,NextSeq 550,GSM6415581,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Saccharomyces cerevisiae,ILLUMINA,2022-08-01T00:00:00Z,2022-07-29T09:26:00Z,1,GSM6415581,BY4742,SRP388737,BY4742,36 hour
SRR20707039,RNA-Seq,152,120201144,PRJNA863480,SAMN30048417,48950883,"BIOPIC, PEKING UNIVERSITY",public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX16728810,WT,NextSeq 550,GSM6415580,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Saccharomyces cerevisiae,ILLUMINA,2022-08-01T00:00:00Z,2022-07-29T09:26:00Z,1,GSM6415580,BY4742,SRP388737,BY4742,36 hour
SRR20707040,RNA-Seq,152,132258392,PRJNA863480,SAMN30048418,53675946,"BIOPIC, PEKING UNIVERSITY",public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX16728809,WT,NextSeq 550,GSM6415579,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Saccharomyces cerevisiae,ILLUMINA,2022-08-01T00:00:00Z,2022-07-29T09:26:00Z,1,GSM6415579,BY4742,SRP388737,BY4742,36 hour
SRR20707042,RNA-Seq,152,170642040,PRJNA863480,SAMN30048421,69298910,"BIOPIC, PEKING UNIVERSITY",public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX16728806,WT,NextSeq 550,GSM6415576,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Saccharomyces cerevisiae,ILLUMINA,2022-08-01T00:00:00Z,2022-07-29T09:25:00Z,1,GSM6415576,BY4742,SRP388737,BY4742,36 hour
SRR20707043,RNA-Seq,152,114921120,PRJNA863480,SAMN30048422,46357985,"BIOPIC, PEKING UNIVERSITY",public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX16728805,WT,NextSeq 550,GSM6415575,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Saccharomyces cerevisiae,ILLUMINA,2022-08-01T00:00:00Z,2022-07-29T09:25:00Z,1,GSM6415575,BY4742,SRP388737,BY4742,36 hour
SRR20707044,RNA-Seq,152,130969432,PRJNA863480,SAMN30048419,52532642,"BIOPIC, PEKING UNIVERSITY",public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX16728808,WT,NextSeq 550,GSM6415578,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Saccharomyces cerevisiae,ILLUMINA,2022-08-01T00:00:00Z,2022-07-29T09:27:00Z,1,GSM6415578,BY4742,SRP388737,BY4742,36 hour
SRR20707045,RNA-Seq,152,152775656,PRJNA863480,SAMN30048423,61897976,"BIOPIC, PEKING UNIVERSITY",public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16728804,WT,NextSeq 550,GSM6415574,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Saccharomyces cerevisiae,ILLUMINA,2022-08-01T00:00:00Z,2022-07-29T09:26:00Z,1,GSM6415574,BY4742,SRP388737,BY4742,36 hour
SRR20707046,RNA-Seq,152,160227608,PRJNA863480,SAMN30048424,65283350,"BIOPIC, PEKING UNIVERSITY",public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX16728803,WT,NextSeq 550,GSM6415573,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Saccharomyces cerevisiae,ILLUMINA,2022-08-01T00:00:00Z,2022-07-29T09:26:00Z,1,GSM6415573,BY4742,SRP388737,BY4742,36 hour
SRR20707047,RNA-Seq,152,139255560,PRJNA863480,SAMN30048425,56692270,"BIOPIC, PEKING UNIVERSITY",public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX16728802,WT,NextSeq 550,GSM6415572,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Saccharomyces cerevisiae,ILLUMINA,2022-08-01T00:00:00Z,2022-07-29T09:27:00Z,1,GSM6415572,BY4742,SRP388737,BY4742,36 hour
