Geneid,A1,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A2,A20,A21,A22,A23,A25,A26,A27,A28,A29,A3,A30,A31,A32,A33,A34,A35,A36,A37,A38,A4,A5,A6,A7,A8,A9,B1,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B2,B20,B21,B22,B23,B24,B25,B27,B28,B29,B3,B30,B31,B32,B33,B34,B35,B37,B38,B39,B4,B40,B42,B43,B45,B47,B48,B5,B6,B7,B8,B9,C1,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C3,C30,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C5,C6,C7,C8,C9
YAL001C,0,0,1.7145903712157238,7.607083160209379,0,7.179153201824099,0,0,1.06582322740338,5.25751142519694,0,0,0,0,0,0,7.744892416785448,3.449865705594532,0,2.6310076740945676,0,0,0,6.425603555743464,0,0,0,0,0,2.492675385921038,0,0,0,0,0,0,2.9118312906076205,3.6978577181752637,0,0,0,0,6.284944529003272,4.908755253413906,0,0,0,0,5.304724780553547,0,0,6.604724893576034,0,0,7.638287726253833,5.670392046121905,4.500106558980125,0,4.0388261280856685,0,0,0,0,0,2.7937566788578123,6.2866169494972874,0,3.9635558758421476,0,0,0,0.6800590911504986,8.274461384681993,9.503256387504557,4.2818650480448115,0,0,3.3547667646447854,0,0,0,7.944228937794095,0,8.650541161094615,0,6.940588638704498,0,0,0,0,3.4922909809698663,0,0,0,0,0,2.6502981297857957,0,5.4934504602853105,6.290683856598589,0,0,6.490194936842771,4.9473425353272145,9.145471893929429,0,4.045310823489895,3.7558107250741513,4.546837201096863,0,5.610071291987917,0,0,4.202235721727492,0,6.834650058367006,6.146958274171945,0,0,0,0,0,6.636586580113601,0,4.831769098648022
YAL002W,0,0,7.987180504256685,0.645108031073023,0,0,0,0,2.6930565096622807,0,5.439567463943429,5.893198724454094,0,0,0,0,0,0,0,0,0,0,0,0,5.4533213496988004,0,0,0,0,8.449165098039886,3.9537476554565663,0,0,0,0,0,0,0,0,6.417518613362721,0,0,0,3.692276516306307,0,0,5.3767602191273625,0,5.909488994240721,0,0,5.481392379045299,7.410872554800467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.182698694558121,0,5.4711480179789,0,1.5727423888838927,0,0,5.84493424859449,0,1.6265637978655465,0,4.872194205456364,0,0,1.7718035491049207,0,8.482094451310191,0,0,0,0,4.678533732736627,1.3986661007256027,0,3.205765663695887,0,0,6.59292425428072,8.47593431758343,0,3.2679880575309688,0,6.663734514483232,0,0,8.926177580217479,0,0,8.89265210217421,0,0,0,3.618600814995431,7.146422805476019,0,0,8.26721745593714,0,0,6.6458618587730856,0,0,0,7.031050829852969,0,5.9372037652300245
YAL003W,6.629950141889361,8.083525912438802,7.48839605747731,8.444333838996183,7.779587635461251,8.037163032867607,7.373823255886526,8.729441314803449,6.355949013268552,8.494954741012014,8.044627285881004,8.278627750513376,6.453715011673834,7.846844868885093,8.422125575544088,7.361472504819388,6.977059015617199,6.533511332519768,7.324608577008546,6.508420354156634,8.358338669839883,8.82997959732597,7.959607562677844,7.038432039371756,7.532163990667012,6.518202217284985,6.365792835999254,7.275148172684384,7.795644048993802,7.725082754127937,6.627059134064771,8.037215501220006,7.3662751760066,8.072779717259191,7.241750587123356,7.6370700786942916,8.607687527119275,6.842717023977662,7.954287959946124,6.59036610376688,7.767891721332733,5.259207683794731,7.492112303500971,7.3831512745451855,8.496757656624398,7.19352700355414,6.9698399275231395,7.133618169070371,7.257316327481754,6.961812008197431,6.949178554021006,8.061977919844391,7.5147742705266865,6.612791024737097,8.650652490643234,8.03312206833903,7.727731634017505,8.038242429138332,7.230922907412919,6.721659002551028,3.6548009921867832,9.279259859081915,7.485539160112634,6.529668179207729,6.972933257943937,8.242596168678075,7.435091783109966,1.030632912335303,7.446412719734854,6.489935328176772,7.483110198719079,7.000736204605218,8.593102882052323,3.6834918634935305,7.6237539971094845,7.155324042927575,6.491093353611104,7.713104430885112,7.044474630067496,7.390541936923881,8.022485634543612,6.690302480310542,6.828510831907816,8.265288456049596,8.446484870197564,7.637975502612267,7.367836823918479,7.13498065900192,6.862895983693756,7.939155421047143,7.413823628770282,8.307698779659297,8.781507936998928,6.973397622761777,5.811871918527002,8.133457468944014,8.127616849352801,6.531280767023112,7.349643534707714,7.664256785415598,8.444355824029007,6.381174900417742,7.597004735169311,5.592976434922087,7.935346676532448,2.588260141194736,7.404286485626781,6.3990163104473465,5.360605859471319,7.365576934530044,6.280378669170268,3.618600814995431,6.3179005667903665,7.5538480265503125,6.905852313210512,6.036743968969927,7.4260987999136585,0,5.96777780648519,7.621266341969417,6.704376704277966,8.00101210873119,7.919035361705473,7.352470387599903,7.950785686761157
YAL005C,3.277562605555837,8.553902530316707,4.911496920799337,7.1493822993224265,4.437453852763068,4.430323971925927,8.680660592923994,6.545589981355251,7.511740260158287,6.158337077039209,4.926912491962911,8.119787694902788,1.0139518729335528,5.6612498711364845,3.9426753209741157,7.643698003909144,9.967003806023802,0,6.298403963027307,7.804140046957924,8.908583540904274,3.019231324790799,5.943262148836448,8.219594558047532,7.652168363329549,9.110934995323841,0,8.723651612601012,7.076290406750527,8.713739564745095,8.716840955410483,7.517867413662765,6.25808386552835,4.589788502746016,6.77896134299786,0,8.54290239177629,7.902902149885767,8.419662754978363,8.320668825911474,8.863405567485394,8.983350706636767,8.161957601942476,8.312129857742786,8.759887025617163,7.281988090122544,8.357989735660787,6.524950583107766,8.346811274848244,6.939880035015738,8.226625152824127,6.209276285379464,9.232303308733652,8.136542180142083,7.9081184975066625,8.242812731316873,6.9170309716328235,8.08233453550184,6.320076114232978,9.425615656246718,7.910696263136901,0,8.133538727257099,6.854067500544865,7.115579275790173,7.371729928787179,8.389017788328866,8.689835574565816,4.9645087986342835,7.2716569146872665,6.369200254287922,6.319923242062939,7.745581134752596,6.321709011124724,6.5377059734578,8.454979920488693,7.5713795417469845,7.919696273845352,7.333030997949487,7.832133211554441,8.106177728243662,8.61364295099632,9.800891132384251,9.307608687975632,8.2865066467518,7.783356125284861,8.341615254778484,7.947671123086608,8.59756871666795,8.57645959817655,9.042595026263498,8.207423636873354,8.297391920361717,9.108963124696357,8.39053392455851,9.468139064376738,7.935708502742564,9.84339755483406,7.694555042944571,8.896750934516902,8.626726747030066,8.498543213552693,7.728801235903183,9.253848310968632,10.436635776441802,8.219475973384938,2.4413687098265906,9.539588842603413,8.907425640916106,10.180179162769601,10.204469108125055,10.24547121187787,9.425184620806782,9.713072179597495,8.643200162535189,10.038340049906708,10.093357283443845,10.939063668840665,10.005190448018324,8.617598025555623,8.042408781990217,7.111025881119459,9.200917924391861,7.951988460845181,6.327889531058398
YAL007C,3.1548603919266385,4.225387261363288,6.8251520891462905,4.3739942982382995,4.187675099671358,0,0,4.898407942334577,1.06582322740338,0,1.4491883447710678,0,2.6081412236457897,3.6975486523678858,2.1391456852988644,6.733503516524676,5.18631040860928,7.83162858169392,7.0978816403248945,3.7137726470907633,2.4546767280293147,0,3.5582247351547283,0,0,0,6.691284913423144,6.111890458325012,0,4.064874553614944,4.162777519748703,5.53542178781862,0,0,0,0,4.67081104215945,2.533738218112824,4.370261518435103,5.203204710367609,0,6.357385735786049,4.752037579442287,3.216734199092705,4.468540890257643,2.560785013489523,1.2336739512663286,0,2.8744069486444,3.2423233823086344,4.814570060327136,5.838924135804192,7.269498225759841,0,5.788266800979986,7.084403014790913,7.061896400800482,7.091967729793857,0,7.8491242948776865,0,2.4737066897508435,0,5.399690492514566,3.6857901280549163,3.9627639208705636,0.8664985596923136,7.527898965760421,0,4.657646909145684,0,5.142646511747786,0.8804807936248057,8.361064677556262,6.866430868836415,0,8.322378258626422,6.312101698983408,6.789308754667992,4.804031659246034,3.782087116302217,0,6.748322979096669,1.7718035491049207,0,7.22535029832213,2.7602083308288323,4.785640181103455,0,7.185286729173893,6.511437248408747,0,0,4.3207711580712855,0,0,6.585014490953767,0,0,6.590576699158065,0,3.139893100657078,0,5.085882394764859,0,0,0,7.103840366050071,5.7585809240126995,5.453668472994512,5.1781175125984396,6.999263633180261,8.329728353778414,0,0,4.10120776652042,5.590604660903113,0,0,0,5.500313044066598,0,6.140115220369906,5.080783779799734,5.557407118827162
YAL008W,0,0,0,2.1319642051911423,0,0,0,3.8150487858515656,0,5.520675547994308,0,0,0,0,0,0,0,0,0,0,1.6964173699700789,0,0,1.0678216135580747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.199391608192899,0,0,0,5.254708100505942,4.9081562179369005,0,0,0,5.556623880032364,0,0,0,0,4.803325369655294,0,2.142861295544272,2.621387956407697,0,2.508388308549838,0,0,0,0,0,2.200975989315097,1.2306170535097731,0,0,0,7.795494147847284,0,2.4474125829313182,0,0,0,2.038418997841744,0,0,0,5.5509410042759235,6.300301931902702,0.8577735809408539,0,0,0,0,5.6695924330222045,0,0,0,0,0,0,0,4.931371076846555,5.3676304841674005,0,3.830325001982078,0,4.547808160733808,0,0,0,0,4.152228388576069,6.983225422619573,4.986026256750506,0,8.021472185022873,0,0,8.020167677171846,6.2894079302473775,6.982613094641247,0,4.1475145986534905,0,0,0,4.195126783730712,0
YAL009W,0,4.250925324404541,6.647724598699985,0,4.746003370081822,0,0,0,0,1.6046764803298241,0,5.949585841285469,0,2.6162879477540195,0,0,6.701952148784961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.198441147794572,0,0,0,4.782780519590006,7.011230880319033,1.6792422026204121,0,6.1683416742430985,2.903399843015572,0,0,6.473418609194641,0,0,4.529713176029541,2.8335931866342934,4.288865890000403,4.268111566064817,0,0,5.273577045944988,0,0,0,0,0,6.207015451198516,0,0,0,0,0,0,0,0,0,4.424585075039446,0,0,0,0,0,0,5.630538797266795,0,2.4428624624114854,0,0,2.543399783321921,0,0,0,0,0,0,0,0,0,0,6.032213486920192,0,0,2.349570755689966,4.4972564354905495,0,0,0.6790833630296502,0,0,0,0,6.254304048503619,0,6.342941519283032,0,4.2520107951721915,0,0,6.334654792641924,0,4.10120776652042,0,0,5.660197307301994,6.5571728529817905,0,0,0,4.097855731995123,0
YAL010C,0,7.608009995071117,0,0,4.746003370081822,0,0,1.7558479033859702,0,0,5.725640736941746,0,0,0,0,0,1.624340412401924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.050007236441966,2.80495750398729,0,0,0,0,0,2.210965435132324,0,0,0,0,0,3.2423233823086344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.168292620736678,0,5.058323468595521,0,0,0,0,0,3.3790206531596017,0,1.449254047673351,0,0,0,0,0,7.5276743827678345,0,0,0,3.96531723049693,7.679504043376407,0,0,0,0,0,0,0,0,0,2.6521381951562906,2.353594745103269,0,0,0,0,0,0,6.966752307006064,0,3.2311677328922204,0,0,0,0,0,0,7.828316280243465,0,0,0,0,0,0,1.7301335722319957,0,0
YAL011W,5.062497158677341,5.5880608246813965,0,0,5.875202072635629,0,0,0,0,0,0,1.7522845143304882,1.6035351750026015,0,0,0,0,1.7184894212645632,4.047994133593192,0,0,3.8504998116935165,0,0,0,1.581352264582758,0,0,5.354270172076647,4.3855200828013166,0,5.000426711554237,0,5.012872028693585,6.70047607917514,0,0,3.0331679682503596,0,0,0,7.404077912135526,0,1.4930964692767101,0,0,0,0,6.1428869868154665,3.618734968227554,5.580116778609648,0,5.135560896952829,0,0,4.2038086800166425,0,0,2.974646943008665,0,0,3.781688624682353,0,0,0,5.118722909932084,0,0,6.658521411132476,0,0,5.848179875889314,0,0,0,3.8442962754519625,0,4.954114844818837,6.726698840335344,7.004793428430008,4.635169357077854,5.58919137646244,0,1.7718035491049207,0,5.513274991656521,0,0,5.46836986121363,0,0,0,0,0,0,0,0,5.687236690186274,0,0,6.828467632411713,3.8900389378959535,7.939377632167176,1.802299332798298,0,5.069927514975888,0,0,0,0,0,0,6.098519018528905,5.683433879651103,4.126392224526937,7.606981421507115,0,0,0,0,0,0,1.1102246900028037,0,0
YAL012W,0,8.335563946523406,7.3539844287834715,0,6.213289462461905,7.370553388397017,6.877847045467413,8.21704466424978,7.058501042173198,7.621776741248705,7.268220409940956,1.3669669552487587,7.331376771013713,5.206405860862852,8.094874158219447,9.218116202417304,7.035494563374406,0,5.981051143115699,7.493560785079297,7.799956242641159,4.000398147968068,5.688779957485906,8.720983093423587,2.074181038078676,6.722552922291076,4.26147038890666,6.7482174722144945,6.9770458596350124,9.25174090838344,6.892067252148095,6.866886369525058,6.3749926764751885,4.034475016778003,6.393461335499474,7.624138324780328,7.846845686577325,6.81229050919282,8.538417378843976,5.993677957633581,6.0677657404168865,7.483542342854305,6.5999552410579065,8.360731202172499,7.711059970383282,4.402287116882587,6.261012732393777,0,6.153621787270945,6.225306559235414,7.22722467586526,6.604724893576034,6.636431271706011,3.640553497821309,5.272491218256293,4.0482079639112865,5.945616186496609,6.785540649392765,7.7960764063968675,2.3503967981329192,4.936974841908949,6.581013362806026,6.334984646636457,0,7.531102700141382,7.8072836009674855,7.328289931629374,7.930739861301403,7.179074222110131,5.548032577010119,3.6629337280339147,7.6022009441023934,6.075492189275499,8.074455652081891,5.244297141969811,7.329683266116161,7.807918469730024,5.486830051056801,5.552465286318381,5.4927923642069585,9.120908187133297,7.225098500890451,8.71027516820429,7.011056237796944,0,5.133976762070685,7.518245009710541,7.128143384290788,8.937821351330642,10.073368843860282,6.115950884834137,3.9753727037887914,0,6.621334469584252,6.781713794065892,0,7.954248636034259,6.784582801150874,5.5623140096155375,5.940898137369375,6.059898873651159,6.9071572643876,0,6.6241658868513795,8.246144206093966,0,7.678439033372563,0,5.11107758309032,7.758886948241949,6.158054686552534,0,0,5.198947828478479,8.133935837643493,4.10120776652042,8.914941768463997,0,8.521656650568115,0,8.821772317798382,9.374190429999759,6.209530135323781,5.742780543923121,7.318881806922013
