	alignment/bam/SRR20707035_sorted.bam	alignment/bam/SRR20707036_sorted.bam	alignment/bam/SRR20707037_sorted.bam	alignment/bam/SRR20707038_sorted.bam	alignment/bam/SRR20707039_sorted.bam	alignment/bam/SRR20707040_sorted.bam	alignment/bam/SRR20707041_sorted.bam	alignment/bam/SRR20707042_sorted.bam	alignment/bam/SRR20707043_sorted.bam	alignment/bam/SRR20707044_sorted.bam	alignment/bam/SRR20707045_sorted.bam	alignment/bam/SRR20707047_sorted.bam	alignment/bam/SRR20707048_sorted.bam	alignment/bam/SRR20707049_sorted.bam	alignment/bam/SRR20707050_sorted.bam	alignment/bam/SRR20707051_sorted.bam	alignment/bam/SRR20707053_sorted.bam	alignment/bam/SRR20707054_sorted.bam	alignment/bam/SRR20707056_sorted.bam	alignment/bam/SRR20707058_sorted.bam	alignment/bam/SRR20707059_sorted.bam	alignment/bam/SRR20707060_sorted.bam	alignment/bam/SRR20707061_sorted.bam	alignment/bam/SRR20707062_sorted.bam	alignment/bam/SRR20707063_sorted.bam	alignment/bam/SRR20707064_sorted.bam	alignment/bam/SRR20707065_sorted.bam	alignment/bam/SRR20707066_sorted.bam	alignment/bam/SRR20707067_sorted.bam	alignment/bam/SRR20707068_sorted.bam	alignment/bam/SRR20707069_sorted.bam	alignment/bam/SRR20707070_sorted.bam	alignment/bam/SRR20707071_sorted.bam	alignment/bam/SRR20707072_sorted.bam	alignment/bam/SRR20707073_sorted.bam	alignment/bam/SRR20707074_sorted.bam	alignment/bam/SRR20707075_sorted.bam	alignment/bam/SRR20707076_sorted.bam	alignment/bam/SRR20707077_sorted.bam	alignment/bam/SRR20707078_sorted.bam	alignment/bam/SRR20707079_sorted.bam	alignment/bam/SRR20707080_sorted.bam	alignment/bam/SRR20707081_sorted.bam	alignment/bam/SRR20707082_sorted.bam	alignment/bam/SRR20707083_sorted.bam	alignment/bam/SRR20707084_sorted.bam	alignment/bam/SRR20707085_sorted.bam	alignment/bam/SRR20707086_sorted.bam	alignment/bam/SRR20707087_sorted.bam	alignment/bam/SRR20707088_sorted.bam	alignment/bam/SRR20707089_sorted.bam	alignment/bam/SRR20707090_sorted.bam	alignment/bam/SRR20707091_sorted.bam	alignment/bam/SRR20707092_sorted.bam	alignment/bam/SRR20707093_sorted.bam	alignment/bam/SRR20707094_sorted.bam	alignment/bam/SRR20707095_sorted.bam	alignment/bam/SRR20707096_sorted.bam	alignment/bam/SRR20707097_sorted.bam	alignment/bam/SRR20707098_sorted.bam	alignment/bam/SRR20707099_sorted.bam	alignment/bam/SRR20707100_sorted.bam	alignment/bam/SRR20707101_sorted.bam	alignment/bam/SRR20707102_sorted.bam	alignment/bam/SRR20707103_sorted.bam	alignment/bam/SRR20707104_sorted.bam	alignment/bam/SRR20707105_sorted.bam	alignment/bam/SRR20707106_sorted.bam	alignment/bam/SRR20707107_sorted.bam	alignment/bam/SRR20707108_sorted.bam	alignment/bam/SRR20707109_sorted.bam	alignment/bam/SRR20707110_sorted.bam	alignment/bam/SRR20707111_sorted.bam	alignment/bam/SRR20707112_sorted.bam	alignment/bam/SRR20707113_sorted.bam	alignment/bam/SRR20707114_sorted.bam	alignment/bam/SRR20707115_sorted.bam	alignment/bam/SRR20707116_sorted.bam	alignment/bam/SRR20707117_sorted.bam	alignment/bam/SRR20707119_sorted.bam	alignment/bam/SRR20707120_sorted.bam	alignment/bam/SRR20707121_sorted.bam	alignment/bam/SRR20707122_sorted.bam	alignment/bam/SRR20707123_sorted.bam	alignment/bam/SRR20707124_sorted.bam	alignment/bam/SRR20707125_sorted.bam	alignment/bam/SRR20707127_sorted.bam	alignment/bam/SRR20707129_sorted.bam	alignment/bam/SRR20707131_sorted.bam	alignment/bam/SRR20707133_sorted.bam	alignment/bam/SRR20707134_sorted.bam	alignment/bam/SRR20707135_sorted.bam	alignment/bam/SRR20707136_sorted.bam	alignment/bam/SRR20707137_sorted.bam	alignment/bam/SRR20707139_sorted.bam	alignment/bam/SRR20707140_sorted.bam	alignment/bam/SRR20707141_sorted.bam	alignment/bam/SRR20707142_sorted.bam	alignment/bam/SRR20707143_sorted.bam	alignment/bam/SRR20707144_sorted.bam	alignment/bam/SRR20707145_sorted.bam	alignment/bam/SRR20707146_sorted.bam	alignment/bam/SRR20707147_sorted.bam	alignment/bam/SRR20707148_sorted.bam	alignment/bam/SRR20707149_sorted.bam	alignment/bam/SRR20707151_sorted.bam	alignment/bam/SRR20707152_sorted.bam	alignment/bam/SRR20707153_sorted.bam	alignment/bam/SRR20707154_sorted.bam	alignment/bam/SRR20707155_sorted.bam	alignment/bam/SRR20707156_sorted.bam	alignment/bam/SRR20707157_sorted.bam	alignment/bam/SRR20707158_sorted.bam	alignment/bam/SRR20707159_sorted.bam	alignment/bam/SRR20707160_sorted.bam	alignment/bam/SRR20707161_sorted.bam	alignment/bam/SRR20707162_sorted.bam	alignment/bam/SRR20707163_sorted.bam	alignment/bam/SRR20707164_sorted.bam	alignment/bam/SRR20707165_sorted.bam	alignment/bam/SRR20707166_sorted.bam	alignment/bam/SRR20707167_sorted.bam	alignment/bam/SRR20707168_sorted.bam	alignment/bam/SRR20707169_sorted.bam	alignment/bam/SRR20707170_sorted.bam
YDL246C	0	0	0	0	0	0	0	0	0	3.43158982522479	0	0	0	1.91789405192444	0	0	0	0	0	0	0	0	0	0.586937562536793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.06128940388975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDL243C	9.61204913274321	7.94306824620198	8.17796359124358	7.30206441860359	7.51336410455294	0	10.0937648586424	0	8.2782256790598	8.98992092266342	7.0331555492727	7.3492704524262	0	5.15922079410819	10.0019016600116	7.9351360609079	9.51645020629144	9.45690991261221	0	0	0	0	7.60427418567239	7.54116063580121	0	0	6.57230813922091	9.23587938485329	0	1.63146015173665	0	9.43750962193965	7.74193753959101	9.23434928202941	0	0	0	0	0	0	7.46438917794104	6.44729554624826	2.55733784372967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1248333863265	9.7590813792771	0	0	8.2798700430531	3.26075579174907	9.49271259218871	7.86547599473712	9.22946713274749	9.1593827950708	9.0280899574372	6.31324132786749	0	7.13094272653227	7.83808987051095	0	9.08992580122965	9.48888073348812	7.63139304758283	9.1139993727403	6.99207434674241	1.44848193215002	0	5.73372587826793	8.95096732295297	0	8.08399636996097	0	0	8.01374093689407	6.66185431777003	0	5.74693408554648	7.05764751602648	1.04973287844921	4.39730349509628	0	0	6.93130384168832	0	0	7.69176328383754	9.69272120059513	9.35661994669434	0	0	0	0	0	0	0	0	0	7.62151952123599	0	0	0	0	0	0	0	0	0	5.35291450939243	0	7.38547043865701	0
YDR387C	0	0	0	0	1.35975361349698	0	0	0	5.17310987867173	0	7.27597519896472	2.60876916643814	0	8.09441367238673	0	4.38838101921955	0	0	0	0	0	5.88952896382756	0	0	0	0	0	0	0	0	0	0	0	0	3.07158245881893	0	4.62033627641851	5.53241997003812	0.663247413647009	0	2.02408941942692	7.42332944031836	0	0	0	0	0	0	0	0.861045142512213	0	0	0	0	6.44724775447927	0	0	0	6.16017863903416	7.21726347264885	0	0	3.03646608963124	0	0	0	0	8.52581123642926	4.83325872769822	1.96648174808301	8.31010922388964	0	6.4655350024874	0	5.75713073470358	7.37663792126425	4.5080021854199	3.33495776287588	6.16849444298243	0	6.36139504098631	0	0.567852585691685	0	0	0	0	0	0	0	0	6.07924488233643	0	0.625275628017499	1.92387669156292	0	0	0	0	0	5.23197872236351	0	0	0	0	2.35344728373839	0	0	0	0	1.57438158980501	0	0	0	0	0	3.75079204097666	0	4.95980986568678	0	0	0	0	0	0
YDL094C	0	0	0	0	0	1.05422154793192	0	0	1.17174579212342	0	0	1.43292922650948	0	0	0	0	0	0.885612600857831	0	3.40308946619151	0	0	0	2.00444009282129	0.751553959058493	0	0	0	0	0	0	0	1.1864163304789	0	1.43791807921752	0.731514264317837	0	0	0	4.15889304845582	0	0	0	0	0	0.891181951744892	0.552143654154877	1.15907828877317	0	0	0	0	0	0	0.865145481543395	0	0	0	0	0	0	0.796509829256962	0	0	0	0	0	1.17281993654438	0	0	0	0	1.39678511425767	0	0	0	0	0.968583525288438	0	0	0	0	0	0	0	0	0	0	0	1.29363633746612	0.723039351946452	0	0	0.625275628017499	0	0	0	0	0	1.56537821335939	0	0	0	0	0	0	0	0	0	0	0	0	0.624786204744641	0	1.45617977110137	0	0	0	0	0	0	0.754790485810351	3.38770380372815	0	0
YDR438W	0	0	0	0	0	0	0	0	0	0	4.32488465133307	5.91881609513886	0	0	0	6.7463327942501	0	5.29056092057083	0	0	5.50490184077793	0	0	0	0	0	0	0	4.94995152625411	6.51136301225393	0	0	0	0	2.47459774978386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.45362693600472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.30744065596125	3.95260263098739	0	0	5.82523356552214	0	0	0.723039351946452	6.56780153615575	0	0	0	0	0	7.304191058214	0	0	0	0	0	0	0	0	0	0	0	7.24982084609127	0	0	0	0	0	0	3.0835603685527	0	0	0	0	0	0	0	0
YDR523C	0	0	0	0	0	0	0	0	0	0	2.93035253037494	0	0	0	0	1.68520656776679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.29207597182534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.83791434835018	0	0	0	3.78315049771697	0	0	0	0	0	0	0	2.15653072399813	1.15142643991535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.791140247242291	0	0	0	0	0	0	0	0	0	0	2.18742505539966	0	0	0	0	0	0	0	0	0	0	0	0	2.70023821534185	0	0	0
YDR542W	0	0	0	0	0	0	0	0	0	0	2.76449386138847	0	2.12913449085365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75440893575836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92387669156292	0	0	0	1.45235640204955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33679922167376
YDR492W	0	0	0	0	4.24897155507912	0	0	0	0	0	0	5.10568740091979	2.95402861852477	0	0	0	0	3.48163317075705	0	0	0	0	0	2.32666370859451	0	0	0	0	4.29511972203991	0	1.84478780094959	0	0	0	0	0	3.14816051443736	0	0	0	0.821169517958236	0	0	0	0.667217968248385	0	5.27676771551492	0	0	0	0	0	0	0	0	0	7.1314604918953	0	0	0	3.73038571719768	6.5747441301808	0	0	0	0	0	0	0	0	2.39931596310064	0	0	0	0	0	0	6.07694002278652	0	0	3.42903653616247	0	0	0	0	0	0	0	0	0	0	0	0	3.49922140948123	0	0	0	0	0	0	0	0	0	0	0	0	1.38036722685896	4.54656790926624	0	0	0	0	0	6.04203226442117	1.11272613144914	7.54671320959817	0	0	0.702673362646212	0	0	0	0.745174348530263	0	0
YDR018C	0	0	0	0	0	0	0	0	0	0	5.66312394318238	0	0	0	5.24042949448791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.07158245881893	0	0	0	5.8483324821629	4.53185141137222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.15946871805071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YDL189W	0	7.11960034791732	0	0	4.30720711442969	6.40895972613502	0	0	7.28865701449333	8.11665845689965	5.22598112473752	4.07605788664017	0	6.42207612189238	0	0	0	5.59880413169039	0	0	0	5.81680865761844	0	7.93070529537293	0	1.67197393681497	7.02339467694689	6.91197543888163	0	7.23865204973835	8.2735538102355	0	4.72886429640255	0	6.47157551280505	7.22482853539918	6.25503358151425	0	5.07399261211462	8.96284401204503	7.40034541544632	5.83941481826574	2.08999641528532	0	0	6.46236139626875	3.30144018935578	1.15907828877317	5.2932147435657	0	4.94650089437733	0	2.55745846789283	0	5.3078509619095	0	6.07453025367784	0.946341717656861	8.0787815823367	6.5577981585654	5.64646923429151	8.08449032292632	8.98109678949877	8.64456115514789	0	0	0	0	0	7.66959619058677	0	8.40109652131383	0	4.0534384068926	6.86568847799344	8.74054109209801	0.807447963262804	0	0	0	6.3826682229937	0	7.54078028852616	0	0	6.04313682992907	0	0	0	2.42071282204278	0	5.29841544645662	4.73787689282094	0	6.85263475071396	7.86077177709868	9.0276684635307	0.791140247242291	8.32037768787525	5.30516186407638	0	4.57023413330006	5.46443647693773	0	0	0	0	0	0	0	0	0	6.24400331577856	6.11569380928549	0	7.27547000553081	5.59558058665785	5.13567497436515	0	2.69848421078744	6.13605133975752	0	0	0	0
