Geneid,A1,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A2,A20,A21,A22,A23,A25,A26,A27,A28,A29,A3,A30,A31,A32,A33,A34,A35,A36,A37,A38,A4,A5,A6,A7,A8,A9,B1,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B2,B20,B21,B22,B23,B24,B25,B27,B28,B29,B3,B30,B31,B32,B33,B34,B35,B37,B38,B39,B4,B40,B42,B43,B45,B47,B48,B5,B6,B7,B8,B9,C1,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C3,C30,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C5,C6,C7,C8,C9
YAL001C,0,0,1.7333881583798,7.89770782697361,0,7.26032694352514,0,0,1.12761521360483,5.89047171635455,0,0,0,0,0,0,7.5776624557983,3.36187560351783,0,2.56782287287196,0,0,0,6.53897070300519,0,0,0,0,0,2.39875393879293,0,0,0,0,0,0,2.93475361566476,4.32843537972911,0,0,0,0,6.56029851268518,5.80515689158514,0,0,0,0,5.34456412678569,0,0,7.29820719574296,0,0,7.83432649084895,5.98778916507042,4.8185560265991,0,4.1600741034094,0,0,0,0,0,2.99747891374965,6.53423950769987,0,3.9193582584416,0,0,0,0.723039351946452,8.83051703639496,8.58165857983248,4.86501575945944,0,0,3.52192933640596,0,0,0,7.995237669651,0,7.72286083792582,0,6.94687005140537,0,0,0,0,3.26510123758542,0,0,0,0,0,2.82917387609853,0,5.54721578559098,6.50700681111542,0,0,5.4024495660742,5.16609546977263,7.87153308158547,0,3.99678227178114,3.65907463048553,4.31194902917948,0,6.07659178480983,0,0,3.90877866230099,0,5.68463691110887,6.40949161909425,0,0,0,0,0,6.89597149194729,0,5.17521183791236
YAL002W,0,0,8.01403376419143,0.757314180338463,0,0,0,0,2.79178556963312,0,5.33206283892079,5.83048788613994,0,0,0,0,0,0,0,0,0,0,0,0,5.17393090449844,0,0,0,0,8.33446398166374,3.91764049608909,0,0,0,0,0,0,0,0,6.63098044235327,0,0,0,4.55791674868414,0,0,5.54108363212189,0,5.94967754938693,0,0,6.16812259186407,7.78776389982397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2792796472973,0,5.58036321544155,0,1.02941987030744,0,0,5.43041924010801,0,1.86454223703043,0,5.46679014843014,0,0,1.18053827024964,0,8.48840963539586,0,0,0,0,4.43782903758109,0.974915316273972,0,3.20682238133371,0,0,6.80129761362509,7.81888210647219,0,3.46566658850818,0,6.98035494508033,0,0,7.65283279929243,0,0,8.78812363093423,0,0,0,3.04298227973529,5.971717250155,0,0,7.10738423040856,0,0,7.46569846468341,0,0,0,7.29101222805287,0,6.28658744446855
YAL003W,6.57902901852257,8.734757405407,7.51520583878676,8.73555587924912,7.74541224097665,8.1185826078365,7.12282429453606,9.5949306269985,6.4706666050592,9.14015831815834,7.93492120503166,8.21502969617875,6.46510651322382,7.8646550978561,8.90702746495125,7.263925453235,6.81041250109805,6.43743737251441,6.89317030285421,6.43360092024517,8.17285216541273,8.60659647041479,7.93381114101082,7.15224324073256,7.24726702016128,6.23435155344503,6.33481229363244,7.48534435695734,8.38533554530066,7.61060491903111,6.588823424345,7.89987491729799,7.37274202707257,8.36278473524793,7.11249856605,7.40128816298673,8.63402343073536,7.51063705342307,8.94958398469956,6.80409310270302,7.97925840179539,4.75795356011012,7.76931117174998,8.29828507044152,9.57283680993581,7.44307677258956,7.13672166408218,6.3749326278496,7.29791191685561,7.49815666406525,7.14542656481719,8.75908998152433,7.8918018446983504,6.93463573016939,8.84715747562209,8.35510879862745,8.05793420616767,8.31458574785525,7.35886467388061,6.65731259018584,3.13987210861055,8.96124919243117,7.28586582856526,6.95370057036907,7.20659125389843,8.49240857573335,7.81160346202157,1.00669250165281,7.53766791297296,6.59687272729754,6.52790323581651,7.11153615079674,9.14945478313252,2.85742763521629,8.23014881652289,7.24519156234501,6.0735055028577,7.89644276795082,7.38159150933517,7.56173197585323,8.63228772909056,6.74102822607651,6.12735017038403,7.33860168762898,7.45682326286704,7.64427663436907,7.74982173611315,7.37045562703405,6.86475308498644,7.51935453463755,7.16404421711265,7.54956508746352,7.29233504048817,6.97457331510036,5.93756667478171,7.51798382107343,8.33731959326179,5.88089220612388,7.40427577410883,7.88217496876357,7.60209385180462,6.69718252079951,6.49944222465501,5.81418034170068,6.66615423746556,2.09297974662017,7.35288322804426,6.29554618454972,5.12079417600495,7.15698879462827,6.74999208473806,3.04298227973529,5.1531661538106,7.24342820238175,6.14469704462591,4.89816736145561,7.69065081357652,0,6.78382437225919,6.86598040617056,6.29563585457818,7.51949180885978,8.17983898352754,7.84843123902656,8.304037299326
YAL005C,3.23150404158984,9.20567344647277,4.93756773599463,7.43950022007628,4.40472302484191,4.50835633323648,8.42867050687553,7.40562224052619,7.62720888947098,6.79767076172104,4.8205306255966,8.05621408871303,1.0197800417092,5.67878599868692,4.40168985273066,7.54604123998658,9.79912123760114,0,5.87023464059201,7.72881504633208,8.72290518552141,2.82488827200103,5.91778542298592,8.33387462553979,7.36713483213686,8.82419482494542,0,8.93465287747212,7.66456654307617,8.59898104907803,8.67830223069538,7.38076539564996,6.26450524273513,4.86978767705382,6.65004942180513,0,8.5692352148881,8.5732655844297,9.41576108966169,8.53585040159051,9.07525431096066,8.46716622486637,8.43967958699704,9.22920119482954,9.83631714330925,7.53163160762731,8.52565438372965,5.77001813592363,8.38754646139563,7.47616920088718,8.42375234105381,6.90095490216537,9.61059983102783,8.46032784999628,8.10431499174855,8.56494906044376,7.24617826130239,8.35870675997713,6.44729554624826,9.36073630086945,7.34428551973209,0,7.93343052986559,7.27890919135238,7.34940022469741,7.62091247095582,8.76646094678897,8.64267715363907,5.05342344726427,7.37907934626136,5.42283034172396,6.43021693656397,8.30097461844353,5.41441063028533,7.14126496687079,8.54521287062082,7.15091923205738,8.10314459936046,7.67056380351226,8.00357841675399,8.71608802968673,8.66472753122533,9.09272024506953,8.37873997974162,7.29732438080819,7.78966029813601,8.72460315659995,8.1838164333534,8.59943706831132,8.15594669370948,8.79172672252997,7.44951719946806,6.81058500830033,9.11014609882553,8.51804400255492,8.85100883866848,8.14531160023683,9.18490911000279,7.74925760604454,9.11524458897506,7.78407366915562,8.81720022875837,6.63049308403324,9.47904239159429,9.16055501586165,7.60382868935764,2.39931596310064,9.43497777117378,8.66165029667004,9.97041602269189,10.6789542656713,9.60641912586738,8.24020397706856,9.40121342548332,7.87613105796193,8.87440117864023,10.359099945533501,10.6443401271039,10.8307094637306,7.85978298570172,7.63089998892762,6.63141543771915,9.4623042097332,8.44882765748957,6.67849398949601
YAL007C,3.10927945527376,4.85019636473572,6.85187505131932,4.65317064565173,4.15524701895988,0,0,5.74341487503536,1.12761521360483,0,1.38036722685896,0,2.61778016239103,3.71406524526111,2.52838595569644,6.63629317721151,5.02313669465568,7.734911222885,6.66698050304748,3.64400931135632,2.30437074356002,0,3.53454030682551,0,0,0,6.66022673366437,6.32051021460798,0,3.95696872433976,4.12633009450992,5.40064693055414,0,0,0,0,4.69618650680309,3.11039089925238,5.33320224903948,5.41356217104755,0,5.84754284995909,5.02121152073508,4.06090576850953,5.51200865949771,2.77230850832134,1.33269993323706,0,2.90976164359385,3.73388526918702,5.00573255001957,6.52839786453416,7.64618770329054,0,5.98189465848576,7.40536069329391,7.39127827427144,7.36742064975646,0,7.78443650522544,0,2.21791558968104,0,5.8189368348551,3.90420128019597,4.19850796859803,1.04973287844921,7.48088455017138,0,4.76161136500291,0,5.25124125528346,1.16204241648256,7.4416141590053,7.47108292828888,0,7.90087057520814,6.49408664928879,7.12598159776481,4.97036828627093,4.35710337743869,0,6.04762031241659,1.18053827024964,0,7.23164092583225,3.09359091417956,5.0147243651755,0,6.76685333131326,6.26305533892519,0,0,4.3218969972413,0,0,6.79337668442918,0,0,6.8073874175811,0,3.4264616487703,0,5.30525773865415,0,0,0,6.99987299809642,5.51719939934082,5.24885838359907,5.64172685589005,6.36582753758107,7.14778724136439,0,0,3.03646608963124,5.85152041395746,0,0,0,5.09752508148024,0,6.39850975768378,5.566816895175,5.90523957526152
YAL008W,0,0,0,2.36234224653008,0,0,0,4.63501261045092,0,6.15592733238565,0,0,0,0,0,0,0,0,0,0,1.57034625296524,0,0,1.12891385114337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08111740058173,0,0,0,4.51507079237474,4.94767284441041,0,0,0,5.92837789722806,0,0,0,0,5.07156504218691,0,2.09285622600466,2.16127279127091,0,2.34490426652547,0,0,0,0,0,2.27327372305177,1.29363633746612,0,0,0,6.8779254119436,0,2.52172564840943,0,0,0,2.17052111635258,0,0,0,4.64763988296025,5.32458108028666,0.860615383136854,0,0,0,0,5.42358870010499,0,0,0,0,0,0,0,4.98456552301653,5.58162230474153,0,4.12948769967653,0,4.76438997266713,0,0,0,0,3.92092242084126,6.77505270614233,5.44803072014242,0,6.84088996021186,0,0,6.86141711773229,6.55226427007059,6.69030776491695,0,3.44256302711076,0,0,0,4.67047127256985,0
YAL009W,0,4.87623686920727,6.67441673109896,0,4.71296408855864,0,0,0,0,2.06890217959446,0,5.88683295860786,0,2.63127328360311,0,0,6.53560254451111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07199409840562,0,0,0,5.75457166043344,7.22548486773266,1.82852364103241,0,6.44342150121874,3.72876467210049,0,0,6.63977975815278,0,0,5.05004231467008,3.00517878156503,4.95942288073988,4.62956499808535,0,0,5.58916640759053,0,0,0,0,0,5.89324879581246,0,0,0,0,0,0,0,0,0,4.53121291822284,0,0,0,0,0,0,5.96383073460644,0,2.95984279384013,0,0,1.82098626774019,0,0,0,0,0,0,0,0,0,0,6.15821721660965,0,0,1.84551446400365,4.54982948849346,0,0,0.807447963262804,0,0,0,0,6.20327957885711,0,6.09991222122457,0,4.70544651517291,0,0,6.02669405685756,0,3.03646608963124,0,0,6.47383706657436,5.80740336984764,0,0,0,4.5715682034204,0
YAL010C,0,8.25848420659128,0,0,4.71296408855864,0,0,2.41572038092118,0,0,5.6176625388917,0,0,0,0,0,1.51296527618377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07601528783941,3.39851550156813,0,0,0,0,0,2.97532628407507,0,0,0,0,0,3.73388526918702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12168590002504,0,5.16329104078761,0,0,0,0,0,3.46104873997172,0,1.5686699945603,0,0,0,0,0,6.60381339875864,0,0,0,4.18828602843097,7.68136809610326,0,0,0,0,0,0,0,0,0,2.69849623853477,2.53221508108313,0,0,0,0,0,0,6.91545913970752,0,3.0131588231312,0,0,0,0,0,0,6.67054344322968,0,0,0,0,0,0,1.91789405192444,0,0
YAL011W,5.01261385428059,6.23026813633875,0,0,5.84146038687119,0,0,0,0,0,0,1.70771291486816,1.61127607996494,0,0,0,0,1.65155222822406,3.64373443619008,0,0,3.643279685514,0,0,0,1.39654715469389,0,0,5.93423092662091,4.27619456933641,0,4.86704875672878,0,5.29567118468616,6.5716334387612,0,0,3.63856604541774,0,0,0,6.89033407352152,0,2.14801374076273,0,0,0,0,6.1831756966098,4.12155649867288,5.77399306482886,0,5.50490184077793,0,0,4.51110640319213,0,0,3.08765235603078,0,0,3.48879548678528,0,0,0,5.3626594734401,0,0,6.74940607815752,0,0,5.95795287129695,0,0,0,3.92866002922322,0,5.13268905696023,7.06325017059215,7.17568676839956,5.22668598630694,5.63935887739477,0,1.18053827024964,0,5.51946948900288,0,0,5.47020076278295,0,0,0,0,0,0,0,0,5.04397145120134,0,0,5.99299009388608,4.19002975137043,6.84001020305189,1.9666940042275,0,4.47449062174558,0,0,0,0,0,0,4.93751514068209,5.37792813187704,3.41385884765572,6.45050951487289,0,0,0,0,0,0,1.25662141662924,0,0
YAL012W,0,8.98710623722871,7.38077968529076,0,6.17942415772957,7.45179526804357,6.62753019515448,9.08187840440565,7.17374397852223,8.26577719339463,7.15882320144077,1.32823364798288,7.34282794967335,5.22381175447423,8.57946942316518,9.12012211815981,6.86879194111769,0,5.55445932623871,7.41831926086278,7.61475563618569,3.79153900711284,5.66338514156209,8.83537172807429,1.86096575877865,6.43824519202285,4.23175773665933,6.95785321297319,7.56506513972034,9.13689362206551,6.85376508755007,6.73023423733405,6.38142065600517,4.30928792015815,6.26492894802293,7.38836805332176,7.87313501023612,7.48011038151415,9.53468219469356,6.20633748810566,6.2770925961511,6.96960207357741,6.87594786676242,9.27787349607075,8.78561420118222,4.64247113711657,6.42709017316191,0,6.19391472505682,6.75923617850132,7.42373507473617,7.29820719574296,7.01192888907055,3.94186120456465,5.46468331160372,4.35369590732536,6.27240225603334,7.06055533782725,7.92428408285835,2.29839484443353,4.39027459251108,6.26614797190244,6.13677657680706,0,7.76531595494496,8.05682836386439,7.70465360712312,7.88366201380323,7.27022560026192,5.65390147253395,2.80434148897387,7.71328700874904,6.6261683783981304,7.15586706889682,5.84004788975195,7.41962085312362,7.38706795397731,5.66713195095828,5.88541626283037,5.66134144670065,9.73173321822718,7.27597519896472,8.00326298897197,6.09022897906009,0,5.1401296511179,7.90043228973232,7.36361095659296,8.93969071827238,9.65202776024972,5.86851606310423,3.27645682145157,0,6.62250755637485,6.90847594599753,0,8.16386194930744,6.13274726549402,5.61613517848919,6.15650775553472,5.23147239143471,7.22421730903325,0,6.84758385228824,6.97533337971503,0,7.62698199532021,0,4.87249425065584,7.54997207007469,6.62720576173089,0,0,4.89613439951046,7.36794104386305,3.03646608963124,9.18040349067857,0,9.34607540822242,0,8.40950656211547,8.89129417013254,6.46808450419151,6.23342969879745,7.67143439642897
