"srr_id","sample_id","correlation"
"SRR20707035","C20",0.998707742631527
"SRR20707036","C23",0.998815452417506
"SRR20707037","C19",0.997519067926006
"SRR20707038","C18",0.997914102818507
"SRR20707039","C17",0.998593461959773
"SRR20707040","C16",0.998317919187434
"SRR20707041","C14",0.993567600237176
"SRR20707042","C13",0.99636798289867
"SRR20707043","C12",0.997897714207913
"SRR20707044","C15",0.998591868056575
"SRR20707045","C11",0.998562611100258
"SRR20707047","C9",0.998673034244541
"SRR20707048","C8",0.998379791065054
"SRR20707049","C7",0.998508735114507
"SRR20707050","C6",0.997500728477748
"SRR20707051","C5",0.997439712959534
"SRR20707053","C3",0.997615206024731
"SRR20707054","C1",0.998576389855407
"SRR20707056","B27",0.998831736360708
"SRR20707058","B24",0.997397203571371
"SRR20707059","B23",0.998607703171371
"SRR20707060","B22",0.99743684812182
"SRR20707061","B25",0.998852231259922
"SRR20707062","B21",0.998699996685449
"SRR20707063","B20",0.998271349412262
"SRR20707064","B19",0.99616017802132
"SRR20707065","B18",0.998490572231771
"SRR20707066","B16",0.997460941643012
"SRR20707067","B15",0.997635788751613
"SRR20707068","B14",0.998967414631238
"SRR20707069","B17",0.998857481976662
"SRR20707070","B13",0.997193578611653
"SRR20707071","B12",0.998770310611477
"SRR20707072","B11",0.998261785841779
"SRR20707073","B10",0.997981365940984
"SRR20707074","B8",0.998721431428282
"SRR20707075","B7",0.998226704952121
"SRR20707076","B6",0.997756174670865
"SRR20707077","B9",0.998546160270459
"SRR20707078","B5",0.998334279030709
"SRR20707079","B4",0.998392908041903
"SRR20707080","B3",0.997020139740658
"SRR20707081","B2",0.998456988928458
"SRR20707082","B1",0.997545785022742
"SRR20707083","A38",0.998490021346933
"SRR20707084","A37",0.998371594955682
"SRR20707085","A36",0.998627193398221
"SRR20707086","A35",0.999122999652548
"SRR20707087","A34",0.998799586485439
"SRR20707088","A33",0.998025392352088
"SRR20707089","A32",0.997556682822764
"SRR20707090","A31",0.998700528605179
"SRR20707091","A30",0.998808342610588
"SRR20707092","A29",0.997828047753109
"SRR20707093","A28",0.998463498879842
"SRR20707094","A27",0.997501769427307
"SRR20707095","A26",0.998303648955256
"SRR20707096","A25",0.99806711809202
"SRR20707097","C49",0.996858781033077
"SRR20707098","C48",0.998424566393585
"SRR20707099","C47",0.995837442311323
"SRR20707100","C46",0.99881034868903
"SRR20707101","C45",0.995937185520189
"SRR20707102","C44",0.99660611818751
"SRR20707103","C43",0.997951214546149
"SRR20707104","C42",0.994779434894695
"SRR20707105","C41",0.995744211675061
"SRR20707106","C40",0.998738488194677
"SRR20707107","C38",0.998437917903038
"SRR20707108","C37",0.997728293083155
"SRR20707109","C36",0.997266311070788
"SRR20707110","C39",0.998293851710207
"SRR20707111","C35",0.996371000316989
"SRR20707112","C34",0.996670465683597
"SRR20707113","C33",0.998955301315078
"SRR20707114","C32",0.995297823552942
"SRR20707115","C30",0.998390572784012
"SRR20707116","C29",0.998533994463613
"SRR20707117","C28",0.997929262515358
"SRR20707119","C27",0.997893219659692
"SRR20707120","C26",0.99817847925773
"SRR20707121","C25",0.997709394250937
"SRR20707122","C24",0.998947686632914
"SRR20707123","C22",0.994865369623671
"SRR20707124","C21",0.997041925963925
"SRR20707125","B48",0.998533323357277
"SRR20707127","B47",0.996311550268393
"SRR20707129","B45",0.997986527614947
"SRR20707131","B42",0.995017850356863
"SRR20707133","B40",0.998013714260759
"SRR20707134","B43",0.998715118106025
"SRR20707135","B39",0.997915657758385
"SRR20707136","B38",0.998561609640006
"SRR20707137","B37",0.998892771119579
"SRR20707139","B35",0.997537495916775
"SRR20707140","B34",0.996922446279675
"SRR20707141","B33",0.997350602372037
"SRR20707142","B32",0.998433727332115
"SRR20707143","B31",0.995512380654405
"SRR20707144","B30",0.998713970067378
"SRR20707145","B29",0.997884068548619
"SRR20707146","B28",0.9992725454916
"SRR20707147","A23",0.998060465755542
"SRR20707148","A22",0.999073379755239
"SRR20707149","A21",0.999038436321636
"SRR20707151","A20",0.999471558783544
"SRR20707152","A19",0.998479455359253
"SRR20707153","A18",0.998692123937433
"SRR20707154","A17",0.998674746827315
"SRR20707155","A15",0.998502732727149
"SRR20707156","A14",0.998253945788093
"SRR20707157","A13",0.998261266807149
"SRR20707158","A16",0.99903591593978
"SRR20707159","A12",0.998202262978793
"SRR20707160","A11",0.998863327871263
"SRR20707161","A10",0.998444280559357
"SRR20707162","A9",0.99900366378816
"SRR20707163","A7",0.998451116265128
"SRR20707164","A6",0.998922915928938
"SRR20707165","A5",0.998237396452964
"SRR20707166","A8",0.997534544541125
"SRR20707167","A4",0.997926211372933
"SRR20707168","A3",0.998351290248694
"SRR20707169","A2",0.998877973412898
"SRR20707170","A1",0.997843918091173
