cell	mapped_reads	genes_detected	ercc_reads	ercc_fraction	pass_mapped	pass_genes	pass_ercc	pass_all
SRR20707035	3235391	2649	187239	0.0578721397197433	TRUE	TRUE	TRUE	TRUE
SRR20707036	2841137	2627	162250	0.0571074186144491	TRUE	TRUE	TRUE	TRUE
SRR20707037	3794271	1716	160919	0.0424110454946418	TRUE	TRUE	TRUE	TRUE
SRR20707038	2113940	2795	108029	0.0511031533534537	TRUE	TRUE	TRUE	TRUE
SRR20707039	2308584	2802	70528	0.0305503286863289	TRUE	TRUE	TRUE	TRUE
SRR20707040	2355675	2733	71181	0.0302168168359387	TRUE	TRUE	TRUE	TRUE
SRR20707041	2699014	1176	187865	0.0696050483621056	TRUE	TRUE	TRUE	TRUE
SRR20707042	3359095	1717	178461	0.0531277025508359	TRUE	TRUE	TRUE	TRUE
SRR20707043	2454986	2189	135948	0.0553762832048737	TRUE	TRUE	TRUE	TRUE
SRR20707044	2605411	2690	113973	0.0437447297182671	TRUE	TRUE	TRUE	TRUE
SRR20707045	3046977	2733	112782	0.0370143916412891	TRUE	TRUE	TRUE	TRUE
SRR20707046	3240410	241	164414	0.0507386410978858	TRUE	FALSE	TRUE	FALSE
SRR20707047	2258464	3284	90814	0.0402105147569321	TRUE	TRUE	TRUE	TRUE
SRR20707048	2460251	2771	116172	0.0472195723119308	TRUE	TRUE	TRUE	TRUE
SRR20707049	1188996	2520	45602	0.0383533670424459	TRUE	TRUE	TRUE	TRUE
SRR20707050	2006172	1736	84263	0.0420018821915569	TRUE	TRUE	TRUE	TRUE
SRR20707051	905155	1912	56252	0.0621462622423784	TRUE	TRUE	TRUE	TRUE
SRR20707052	935992	885	51245	0.0547493995675177	TRUE	FALSE	TRUE	FALSE
SRR20707053	419187	1499	27627	0.0659061468986395	TRUE	TRUE	TRUE	TRUE
SRR20707054	1162522	3578	30683	0.0263934790051285	TRUE	TRUE	TRUE	TRUE
SRR20707055	1501486	904	110258	0.0734325861180191	TRUE	FALSE	TRUE	FALSE
SRR20707056	2968737	2190	193878	0.0653065596581981	TRUE	TRUE	TRUE	TRUE
SRR20707057	1874436	970	107807	0.0575143669882567	TRUE	FALSE	TRUE	FALSE
SRR20707058	3070232	1774	51290	0.0167055779498097	TRUE	TRUE	TRUE	TRUE
SRR20707059	2051971	2375	44911	0.0218867615575464	TRUE	TRUE	TRUE	TRUE
SRR20707060	2662227	2256	48481	0.0182106935283881	TRUE	TRUE	TRUE	TRUE
SRR20707061	3927543	2392	98964	0.0251974325933542	TRUE	TRUE	TRUE	TRUE
SRR20707062	3148696	3114	113432	0.0360250719662997	TRUE	TRUE	TRUE	TRUE
SRR20707063	2381666	2918	72433	0.0304127446921609	TRUE	TRUE	TRUE	TRUE
SRR20707064	2773391	1364	217505	0.0784256529281302	TRUE	TRUE	TRUE	TRUE
SRR20707065	1413265	2188	48408	0.0342525994770974	TRUE	TRUE	TRUE	TRUE
SRR20707066	2350489	3397	77143	0.0328199791617829	TRUE	TRUE	TRUE	TRUE
SRR20707067	2814272	3844	50876	0.0180778545925909	TRUE	TRUE	TRUE	TRUE
SRR20707068	1842740	2378	74670	0.0405211804161195	TRUE	TRUE	TRUE	TRUE
SRR20707069	3077140	2793	85928	0.0279246313134924	TRUE	TRUE	TRUE	TRUE
SRR20707070	2707494	1744	197812	0.0730609190639019	TRUE	TRUE	TRUE	TRUE
SRR20707071	2216093	2359	50128	0.0226199893235528	TRUE	TRUE	TRUE	TRUE
SRR20707072	2855366	2412	110048	0.0385407685039326	TRUE	TRUE	TRUE	TRUE
SRR20707073	2127210	3264	69669	0.0327513503603311	TRUE	TRUE	TRUE	TRUE
SRR20707074	2626024	2649	122764	0.0467490015323546	TRUE	TRUE	TRUE	TRUE
SRR20707075	2847579	3127	76432	0.0268410463765887	TRUE	TRUE	TRUE	TRUE
SRR20707076	2421848	1993	135775	0.056062560490997	TRUE	TRUE	TRUE	TRUE
SRR20707077	3206584	2881	135709	0.0423219850158299	TRUE	TRUE	TRUE	TRUE
SRR20707078	3971456	2872	139880	0.0352213394785187	TRUE	TRUE	TRUE	TRUE
SRR20707079	3066953	2631	95002	0.0309760208258816	TRUE	TRUE	TRUE	TRUE
SRR20707080	2272717	2067	41051	0.0180625216425978	TRUE	TRUE	TRUE	TRUE
SRR20707081	3843387	2815	173949	0.0452592986342515	TRUE	TRUE	TRUE	TRUE
SRR20707082	1842015	2347	40828	0.0221648575065893	TRUE	TRUE	TRUE	TRUE
SRR20707083	2584078	2057	218204	0.0844417235083461	TRUE	TRUE	TRUE	TRUE
SRR20707084	3092371	2066	353976	0.114467507294565	TRUE	TRUE	TRUE	TRUE
SRR20707085	2259287	2586	156113	0.0690983482842153	TRUE	TRUE	TRUE	TRUE
SRR20707086	2674931	2040	186185	0.0696036645431228	TRUE	TRUE	TRUE	TRUE
SRR20707087	2849046	1848	183625	0.0644513988191135	TRUE	TRUE	TRUE	TRUE
SRR20707088	2647153	1971	186646	0.070508202585948	TRUE	TRUE	TRUE	TRUE
SRR20707089	2761320	1812	198954	0.0720503237582026	TRUE	TRUE	TRUE	TRUE
SRR20707090	2500090	2456	147455	0.0589798767244379	TRUE	TRUE	TRUE	TRUE
SRR20707091	2043959	1909	151610	0.074174677672106	TRUE	TRUE	TRUE	TRUE
SRR20707092	717457	1794	64591	0.0900276950395633	TRUE	TRUE	TRUE	TRUE
SRR20707093	2160173	2124	177168	0.0820156533759102	TRUE	TRUE	TRUE	TRUE
SRR20707094	737803	1436	71733	0.0972251400441581	TRUE	TRUE	TRUE	TRUE
SRR20707095	1921712	2077	162839	0.0847364225232501	TRUE	TRUE	TRUE	TRUE
SRR20707096	2306063	2017	129198	0.0560253557686846	TRUE	TRUE	TRUE	TRUE
SRR20707097	2358347	1630	153332	0.0650167256981267	TRUE	TRUE	TRUE	TRUE
SRR20707098	1599560	2842	55543	0.0347239240791218	TRUE	TRUE	TRUE	TRUE
SRR20707099	1781243	1571	26219	0.0147194964415299	TRUE	TRUE	TRUE	TRUE
SRR20707100	4250259	2528	131247	0.0308797652096025	TRUE	TRUE	TRUE	TRUE
SRR20707101	660631	1705	30366	0.0459651454442798	TRUE	TRUE	TRUE	TRUE
SRR20707102	3349676	1530	185058	0.0552465372770381	TRUE	TRUE	TRUE	TRUE
SRR20707103	3140293	2523	147970	0.0471198069734257	TRUE	TRUE	TRUE	TRUE
SRR20707104	1717742	1445	129574	0.075432748340554	TRUE	TRUE	TRUE	TRUE
SRR20707105	2111466	1821	121036	0.0573232057726717	TRUE	TRUE	TRUE	TRUE
SRR20707106	1677329	3146	58629	0.0349537866453153	TRUE	TRUE	TRUE	TRUE
